log_id,name,url,invokeTime,formattedResponse,functionInitialLoad,functionInnertime,msSinceFunctionLoad,firstRun,serverStart,serverEnd,serverDifference
39,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909330003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909330160,129666,false,1710909330003,1710909330120,117
40,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909340003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909340152,139658,false,1710909340003,1710909340112,109
41,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909350004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909350161,149667,false,1710909350004,1710909350122,118
42,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909360027,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909360237,119763,false,1710909360027,1710909360198,171
43,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909360003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909360237,159743,false,1710909360003,1710909360231,228
44,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909370002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909370162,169668,false,1710909370002,1710909370121,119
45,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909380002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909380157,179663,false,1710909380002,1710909380116,114
46,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909390002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909390179,189685,false,1710909390002,1710909390142,140
47,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909400003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909400156,199662,false,1710909400003,1710909400118,115
48,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909410003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:36:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909410171,209677,false,1710909410003,1710909410133,130
49,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909420003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909420170,219676,false,1710909420003,1710909420131,128
50,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909420020,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909420254,179780,false,1710909420020,1710909420216,196
51,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909430002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909430154,229660,false,1710909430002,1710909430114,112
52,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909440004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909440247,239753,false,1710909440004,1710909440207,203
53,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909450003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909450161,249667,false,1710909450003,1710909450120,117
54,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909460004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909460166,259672,false,1710909460004,1710909460126,122
55,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909470002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:37:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909470158,269664,false,1710909470002,1710909470117,115
56,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909480003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909480199,279705,false,1710909480003,1710909480163,160
57,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909480021,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909480238,239764,false,1710909480022,1710909480199,177
58,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909490002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909490170,289676,false,1710909490002,1710909490136,134
59,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909500003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909500178,299684,false,1710909500003,1710909500139,136
60,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909510002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909510165,309671,false,1710909510002,1710909510135,133
61,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909520002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909520225,319731,false,1710909520002,1710909520188,186
62,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909530002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:38:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909530165,329671,false,1710909530002,1710909530137,135
63,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909540004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909540199,339705,false,1710909540004,1710909540157,153
64,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909540014,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909540200,299726,false,1710909540014,1710909540159,145
65,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909550003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909550183,349689,false,1710909550003,1710909550145,142
66,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909560003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909560181,359687,false,1710909560003,1710909560156,153
67,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909570002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909570151,369657,false,1710909570002,1710909570111,109
68,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909580001,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909580157,379663,false,1710909580001,1710909580123,122
69,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909590003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:39:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909590158,389664,false,1710909590003,1710909590122,119
70,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909600013,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909600236,359762,false,1710909600013,1710909600201,188
71,3. Every 5 Minutes,https://c74aqg48s2.execute-api.us-west-2.amazonaws.com/default/5M,1710909600020,This function initially loaded at Wed Mar 20 2024 04:35:01 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:00 GMT+0000 (Coordinated Universal Time).,1710909301023,1710909600357,299334,false,1710909600020,1710909600317,297
72,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909600002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909600249,399755,false,1710909600002,1710909600210,208
73,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909610002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909610155,409661,false,1710909610002,1710909610113,111
74,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909620002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909620169,419675,false,1710909620002,1710909620145,143
75,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909630002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909630153,429659,false,1710909630002,1710909630112,110
76,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909640002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909640158,439664,false,1710909640002,1710909640119,117
77,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909650002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:40:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909650151,449657,false,1710909650002,1710909650110,108
78,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909660002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909660167,459673,false,1710909660002,1710909660130,128
79,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909660008,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909660168,419694,false,1710909660008,1710909660131,123
80,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909670002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909670181,469687,false,1710909670002,1710909670141,139
81,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909680002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909680210,479716,false,1710909680002,1710909680172,170
82,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909690003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909690181,489687,false,1710909690003,1710909690141,138
83,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909700003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909700160,499666,false,1710909700003,1710909700122,119
84,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909710002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:41:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909710140,509646,false,1710909710002,1710909710099,97
85,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909720002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909720163,519669,false,1710909720002,1710909720136,134
86,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909720011,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909720214,479740,false,1710909720011,1710909720174,163
87,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909730002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909730149,529655,false,1710909730002,1710909730108,106
88,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909740001,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909740142,539648,false,1710909740001,1710909740100,99
89,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909750003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909750171,549677,false,1710909750003,1710909750130,127
90,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909760003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909760212,559718,false,1710909760003,1710909760170,167
91,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909770002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:42:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909770152,569658,false,1710909770002,1710909770111,109
92,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909780003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909780170,579676,false,1710909780003,1710909780130,127
93,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909780011,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909780179,539705,false,1710909780011,1710909780138,127
94,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909790002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909790156,589662,false,1710909790002,1710909790115,113
95,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909800003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909800148,599654,false,1710909800003,1710909800108,105
96,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909810001,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909810141,609647,false,1710909810001,1710909810101,100
97,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909820002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909820153,619659,false,1710909820002,1710909820115,113
98,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909830002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:43:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909830140,629646,false,1710909830002,1710909830100,98
99,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909840003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:44:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909840184,639690,false,1710909840003,1710909840142,139
100,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909840010,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:44:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909840198,599724,false,1710909840010,1710909840156,146
101,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909850002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:44:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909850150,649656,false,1710909850002,1710909850111,109
102,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909860003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:44:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909860161,659667,false,1710909860003,1710909860121,118
